country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active,Serious Critical,Tot Cases/1M pop,Tot Death/1M pop,Total tests,Tests/1M pop
Cameroon,"2,077",,64 ,,953,"1,060",12,78,2,,
Azerbaijan,"1,894",,25 ,,"1,411",458,17,187,2,"152,597","15,050"
Bosnia and Herzegovina,"1,839",,72 ,,779,988,4,561,22,"32,783","9,992"
Iceland,"1,798",,10 ,,"1,706",82,,"5,269",29,"50,002","146,529"
Estonia,"1,700",+1,55 ,+2,259,"1,386",7,"1,282",41,"55,206","41,617"
Bulgaria,"1,611",+17,72 ,,308,"1,231",40,232,10,"47,636","6,856"
Cuba,"1,611",,66 ,,765,780,10,142,6,"51,506","4,547"
Guinea,"1,586",,7 ,,405,"1,174",,121,0.5,,
North Macedonia,"1,506",,82 ,,852,572,21,723,39,"16,997","8,158"
New Zealand,"1,487",+2,20 ,,"1,266",201,,308,4,"150,223","31,152"
Bolivia,"1,470",+241,71 ,+5,159,"1,240",3,126,6,"5,791",496
Slovenia,"1,439",,96 ,+2,241,"1,102",21,692,46,"55,520","26,706"
Lithuania,"1,410",+4,46 ,,635,729,17,518,17,"141,678","52,044"
Slovakia,"1,408",+1,24 ,,619,765,7,258,4,"96,220","17,624"
Ivory Coast,"1,362",,15 ,,622,725,,52,0.6,"10,508",398
Senegal,"1,115",,9 ,,368,738,4,67,0.5,466,28
Djibouti,"1,112",,2 ,,686,424,,"1,126",2,"13,856","14,024"
Hong Kong,"1,040",,4 ,,879,157,3,139,0.5,"154,989","20,674"
Honduras,"1,010",+111,76 ,+1,116,818,10,102,8,"4,669",471
Tunisia,"1,009",,42 ,,323,644,25,85,4,"24,055","2,035"
Latvia,879,+8,16 ,,348,515,4,466,8,"64,245","34,061"
Cyprus,864,,15 ,,296,553,15,716,12,"62,267","51,573"
Kyrgyzstan,795,+26,10 ,+2,564,221,12,122,2,"51,472","7,889"
Albania,789,,31 ,,519,239,4,274,11,"8,669","3,012"
Andorra,747,,44 ,,472,231,17,"9,668",569,"1,673","21,653"
Niger,736,,35 ,,507,194,,30,1,"5,271",218
Lebanon,733,,25 ,,197,511,43,107,4,"37,880","5,550"
Costa Rica,733,,6 ,,372,355,6,144,1,"13,632","2,676"
Diamond Princess,712,,13 ,,645,54,4,,,,
Sri Lanka,705,+3,7 ,,182,516,1,33,0.3,"25,206","1,177"
Guatemala,688,+44,17 ,+1,72,599,5,38,0.9,"7,200",402
DRC,674,,33 ,,75,566,,8,0.4,,
Somalia,671,,31 ,,34,606,2,42,2,,
Burkina Faso,652,,44 ,,535,73,,31,2,,
Uruguay,652,,17 ,,440,195,10,188,5,"21,164","6,093"
Sudan,592,,41 ,,52,499,,14,0.9,,
Georgia,589,+7,8 ,,215,366,6,148,2,"15,904","3,987"
San Marino,580,,41 ,,83,456,5,"17,094","1,208","2,397","70,643"
Mali,544,,26 ,,206,312,,27,1,"2,172",107
Channel Islands,543,,41 ,,406,96,,"3,123",236,"5,342","30,725"
Mayotte,539,,4 ,,235,300,4,"1,976",15,"3,000","10,996"
Maldives,519,,1 ,,18,500,2,960,2,"8,008","14,815"
El Salvador,490,+44,11 ,,154,325,3,76,2,"28,596","4,409"
Tanzania,480,,16 ,,167,297,7,8,0.3,,
Malta,468,,4 ,,379,85,1,"1,060",9,"35,117","79,532"
Jamaica,463,+31,8 ,,33,422,2,156,3,"5,215","1,761"
Jordan,460,,9 ,,367,84,5,45,0.9,"82,092","8,046"
Kenya,435,,22 ,,152,261,2,8,0.4,"21,702",404
Taiwan,432,,6 ,,332,94,,18,0.3,"64,094","2,691"
Réunion,423,, ,,300,123,2,472,,,
Paraguay,370,+37,10 ,,119,241,5,52,1,"10,766","1,509"
Palestine,353,,2 ,,76,275,,69,0.4,"32,200","6,312"
Venezuela,345,,10 ,,148,187,2,12,0.4,"477,790","16,802"
Gabon,335,,5 ,,85,245,1,151,2,724,325
Mauritius,332,,10 ,,314,8,3,261,8,"16,028","12,603"
Montenegro,322,,8 ,,249,65,2,513,13,"6,864","10,929"
Isle of Man,320,,22 ,,271,27,21,"3,763",259,"3,242","38,126"
Equatorial Guinea,315,,1 ,,9,305,,225,0.7,854,609
Vietnam,270,, ,,219,51,8,3,,"261,004","2,681"
Guinea-Bissau,257,,1 ,,19,237,,131,0.5,"1,500",762
Rwanda,255,, ,,120,135,,20,,"33,303","2,571"
Congo,229,,9 ,,25,195,,41,2,,
Faeroe Islands,187,, ,,185,2,,"3,827",,"8,066","165,074"
Martinique,179,,14 ,,83,82,5,477,37,,
Sierra Leone,155,,8 ,,21,126,,19,1,,
Liberia,154,,18 ,,48,88,,30,4,,
Guadeloupe,152,,12 ,,95,45,6,380,30,,
Cabo Verde,152,,2 ,,18,132,,273,4,791,"1,423"
Myanmar,151,,6 ,,37,108,,3,0.1,"8,460",155
Gibraltar,144,, ,,132,12,,"4,274",,"2,711","80,467"
Brunei ,138,,1 ,,126,11,2,315,2,"13,924","31,828"
Ethiopia,135,+2,3 ,,75,57,,1,0.03,"22,330",194
Madagascar,135,, ,,97,38,1,5,,"3,393",123
French Guiana,128,,1 ,,98,29,2,429,3,,
Togo,123,,9 ,,66,48,,15,1,"7,100",858
Cambodia,122,, ,,120,2,1,7,,"12,304",736
Zambia,119,,3 ,,75,41,1,6,0.2,"5,284",287
Chad,117,,10 ,,39,68,,7,0.6,,
Trinidad and Tobago,116,,8 ,,88,20,,83,6,"1,907","1,363"
